long,lat,telefono,objeto,calle_nombre,calle_altura,calle_cruce,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4661896595799,-34.682937295256,46040711,FARMACIA,AV SOLDADO DE LA FRONTERA,4951.0,AV SOLDADO DE LA FRONTERA,Villa Lugano,Comuna 8,1439,C1439FPA
-58.4693382890445,-34.5803770529828,45524370,FARMACIA,CHARLONE,1999.0,CHARLONE,Villa Ortuzar,Comuna 15,1427,C1427BYM
-58.4606907626448,-34.5619314420785,47888707,FARMACIA,MOLDES,2289.0,MOLDES,Belgrano,Comuna 13,1428,C1428CRI
-58.419462370278,-34.5875453590371,48325059,FARMACIA,AV RAUL SCALABRINI ORTIZ,2199.0,AV RAUL SCALABRINI ORTIZ,Palermo,Comuna 14,1425,C1425DBC
-58.4192539786193,-34.5869810743291,48310675,FARMACIA,AV RAUL SCALABRINI ORTIZ,2282.0,AV RAUL SCALABRINI ORTIZ,Palermo,Comuna 14,1425,C1425DBQ
-58.4031652667299,-34.5974842526061,49617408 49621414,FARMACIA,AV PUEYRREDON,1109.0,AV PUEYRREDON,Recoleta,Comuna 2,1118,C1118AAB
-58.4189183776917,-34.6067753927338,48657741,FARMACIA,TENIENTE GENERAL JUAN D PERON,3732.0,TENIENTE GENERAL JUAN D PERON,Almagro,Comuna 5,1198,C1198AAT
-58.4612192887127,-34.5572027781294,47813022,FARMACIA,AV CABILDO,2676.0,AV CABILDO,Belgrano,Comuna 13,1428,C1428AAV
-58.3973092583579,-34.6307532805789,49414744/20,FARMACIA,BRASIL,2388.0,BRASIL,Parque Patricios,Comuna 4,1260,C1260AAS
-58.4528804424914,-34.5509746361263,47828676 49439100,FARMACIA,AV DEL LIBERTADOR,6664.0,AV DEL LIBERTADOR,Belgrano,Comuna 13,1428,C1428ARW
-58.4879304346511,-34.5972133520758,45010479,FARMACIA,AV SAN MARTIN,4951.0,AV SAN MARTIN,Agronomia,Comuna 15,1417,C1417DSJ
-58.5214985088039,-34.6086085493999,45687197,FARMACIA,PEDRO MORAN,4892.0,PEDRO MORAN,Villa Devoto,Comuna 11,1419,C1419HLP
-58.4106807406271,-34.6004442930209,49610644,FARMACIA,TUCUMAN,3199.0,TUCUMAN,Balvanera,Comuna 3,1189,C1189AAI
-58.4128254265437,-34.5840579057537,48331072,FARMACIA,ARAOZ,2800.0,ARAOZ,Palermo,Comuna 14,1425,C1425DGR
-58.4653272632431,-34.6163328111716,45848324,FARMACIA,AV GAONA,2778.0,AV GAONA,Flores,Comuna 7,1416,C1416DSP
-58.5096479632459,-34.5772678338167,,FARMACIA,AV ALBARELLOS,2889.0,AV ALBARELLOS,Villa Pueyrredon,Comuna 12,1419,C1419FSF
-58.5229873283541,-34.6390564182498,46428701,FARMACIA,AV RIVADAVIA,11244.0,AV RIVADAVIA,Liniers,Comuna 9,1408,C1408AAZ
-58.4650474748271,-34.6030034398937,45816393,FARMACIA,AV SAN MARTIN,2802.0,AV SAN MARTIN,Villa Gral. Mitre,Comuna 11,1416,C1416CSQ
-58.5057623843945,-34.6547300178055,46879941,FARMACIA,AV JUAN B. ALBERDI,6208.0,AV JUAN B. ALBERDI,Mataderos,Comuna 9,1440,C1440ABN
-58.477755058594,-34.6326362987764,46119056,FARMACIA,AV RIVADAVIA,8099.0,AV RIVADAVIA,Floresta,Comuna 10,1407,C1407DYC
-58.4678164156131,-34.6342821423165,46374923,FARMACIA,AV SAN PEDRITO,296.0,AV SAN PEDRITO,Flores,Comuna 7,1406,C1406EXP
-58.4854559861215,-34.5764643753964,45225235,FARMACIA,AV OLAZABAL,5068.0,AV OLAZABAL,Villa Urquiza,Comuna 12,1431,C1431CGT
-58.4543261188371,-34.5670456823887,47819891,FARMACIA,VIRREY DEL PINO,2566.0,VIRREY DEL PINO,Belgrano,Comuna 13,1426,C1426EGT
-58.4165235586839,-34.6184227959282,49313326,FARMACIA,AV BOEDO,500.0,AV BOEDO,Almagro,Comuna 5,1218,C1218AAN
-58.5124073771408,-34.6011982661155,45048509,FARMACIA,FERNANDEZ DE ENCISO,3979.0,FERNANDEZ DE ENCISO,Villa Devoto,Comuna 11,1419,C1419GDB
-58.425924555514,-34.6297001900707,49211712,FARMACIA,AV LA PLATA,1234.0,AV LA PLATA,Boedo,Comuna 5,1250,C1250AAP
-58.4974553945313,-34.5972578643562,45021300/2300,FARMACIA,AV BEIRO FRANCISCO,3160.0,AV BEIRO FRANCISCO,Villa Del Parque,Comuna 11,1419,C1419HYS
-58.4321949673739,-34.5902011116424,47755020,FARMACIA,CABRERA JOSE ANTONIO,5000.0,CABRERA JOSE ANTONIO,Palermo,Comuna 14,1414,C1414BGP
-58.3872602116645,-34.6102000137848,43813601,FARMACIA,YRIGOYEN HIPOLITO,1476.0,YRIGOYEN HIPOLITO,Monserrat,Comuna 1,1089,C1089AAB
-58.4896697232187,-34.60149479502,45022661,FARMACIA,AV NAZCA,3001.0,AV NAZCA,Villa Del Parque,Comuna 11,1417,C1417CVA
-58.4431368298588,-34.5997391327949,48573973,FARMACIA,PADILLA,720.0,PADILLA,Villa Crespo,Comuna 15,1414,C1414AGL
-58.3967398041872,-34.606110412899,49537837,FARMACIA,SARMIENTO,2102.0,SARMIENTO,Balvanera,Comuna 3,1044,C1044AAH
-58.5016651704843,-34.6673061232399,46875760,FARMACIA,AV CNEL CARDENAS,2716.0,AV CNEL CARDENAS,Mataderos,Comuna 9,1440,C1440EJR
-58.4865718256055,-34.615430949048,45665840,FARMACIA,,,,Villa Santa Rita,Comuna 11,1407,C1407DWE
-58.4012924858726,-34.609680563656,"49514479 49534504
95144799534504",FARMACIA,AV RIVADAVIA,2463.0,AV RIVADAVIA,Balvanera,Comuna 3,1034,C1034ACD
-58.4122413481085,-34.6042721867331,48655514,FARMACIA,AV CORRIENTES,3326.0,AV CORRIENTES,Balvanera,Comuna 3,1193,C1193AAS
-58.4372376765715,-34.6347440432703,49233529,FARMACIA,AV ASAMBLEA,891.0,AV ASAMBLEA,Parque Chacabuco,Comuna 7,1424,C1424COJ
-58.5005830843023,-34.6325077990912,46837291,FARMACIA,AV LOPE DE VEGA,580.0,AV LOPE DE VEGA,Villa Luro,Comuna 10,1407,C1407BNR
-58.458470224372,-34.5646479308772,47835135,FARMACIA,MOLDES,1999.0,MOLDES,Belgrano,Comuna 13,1428,C1428CRC
-58.5072617359377,-34.5895675189305,45712212,FARMACIA,AV GRAL. MOSCONI,3300.0,AV GRAL. MOSCONI,Villa Pueyrredon,Comuna 12,1419,C1419EQY
-58.4597051166608,-34.6024926250675,45848226,FARMACIA,ESPINOSA,2005.0,ESPINOSA,Paternal,Comuna 15,1416,C1416CES
-58.4615551938097,-34.614884723676,45810810,FARMACIA,AV GAONA,2488.0,AV GAONA,Flores,Comuna 7,1416,C1416DRZ
-58.4469789804384,-34.59200946854,48546014,FARMACIA,AV CORRIENTES,6151.0,AV CORRIENTES,Chacarita,Comuna 15,1414,C1414ALA
-58.4834189369839,-34.6292479635397,46363821,FARMACIA,AV AVELLANEDA,3879.0,AV AVELLANEDA,Floresta,Comuna 10,1407,C1407EJF
-58.4833416747863,-34.5606940076791,45414758,FARMACIA,MANUELA PEDRAZA,4299.0,MANUELA PEDRAZA,Villa Urquiza,Comuna 12,1430,C1430APA
-58.4046818587772,-34.6007663184927,49614584,FARMACIA,AV PUEYRREDON,802.0,AV PUEYRREDON,Balvanera,Comuna 3,1032,C1032ABV
-58.4217062605824,-34.6260839278423,49233438,FARMACIA,AV SAN JUAN,4009.0,AV SAN JUAN,Boedo,Comuna 5,1233,C1233ABK
-58.5117540711333,-34.587404674411,45710324,FARMACIA,LLAVALLOL,5066.0,LLAVALLOL,Villa Devoto,Comuna 11,1419,C1419AKX
-58.464464149468,-34.5845423141478,45547330 45544878/20,FARMACIA,AV TRIUNVIRATO,2977.0,AV TRIUNVIRATO,Villa Ortuzar,Comuna 15,1427,C1427AAC
-58.4166276752356,-34.6505555741026,49193430,FARMACIA,AV SAENZ,885.0,AV SAENZ,Nueva Pompeya,Comuna 4,1437,C1437DOA
-58.4543054382801,-34.6115658138242,45856100,FARMACIA,AV GAONA,1851.0,AV GAONA,Caballito,Comuna 6,1416,C1416DRG
-58.4430199748471,-34.6647206032367,49194704,FARMACIA,CORRALES,3381.0,CORRALES,Villa Soldati,Comuna 8,1437,C1437GNI
-58.5253864914275,-34.6140006266717,46397169/7482,FARMACIA,AV BEIRO FRANCISCO,5305.0,AV BEIRO FRANCISCO,Villa Real,Comuna 10,1419,C1419IAC
-58.3998593874562,-34.6023682600541,49534200 49534174,FARMACIA,TUCUMAN,2302.0,TUCUMAN,Balvanera,Comuna 3,1051,C1051ACD
-58.3899788013773,-34.5881309551189,48040115,FARMACIA,AV PTE. MANUEL QUINTANA,531.0,AV PTE. MANUEL QUINTANA,Recoleta,Comuna 2,1129,C1129ABB
-58.4049041286723,-34.6032169775441,49618260,FARMACIA,AV PUEYRREDON,609.0,AV PUEYRREDON,Balvanera,Comuna 3,1032,C1032ABG
-58.441817990533,-34.6041869588628,,FARMACIA,MAHATMA GANDHI,397.0,MAHATMA GANDHI,Villa Crespo,Comuna 15,1414,C1414EFC
-58.4429792750537,-34.6163843493903,44330208,FARMACIA,AVELLANEDA,896.0,AVELLANEDA,Caballito,Comuna 6,1405,C1405CNV
-58.4313853803276,-34.6413783723093,49253333,FARMACIA,COBO,1101.0,COBO,Parque Chacabuco,Comuna 7,1424,C1424DEG
-58.4710909749286,-34.6657170275988,46025539,FARMACIA,AV CASTAÑARES,4650.0,AV CASTAÑARES,Villa Lugano,Comuna 8,1439,C1439AKR
-58.4670613542958,-34.5523041251325,45442377,FARMACIA,CIUDAD DE LA PAZ,3299.0,CIUDAD DE LA PAZ,Nuñez,Comuna 13,1429,C1429ACG
-58.4632733467195,-34.5639723907479,47851871,FARMACIA,CONESA,2239.0,CONESA,Belgrano,Comuna 13,1428,C1428CUI
-58.4495552813063,-34.5786138308839,45551763,FARMACIA,AV FEDERICO LACROZE,3254.0,AV FEDERICO LACROZE,Colegiales,Comuna 13,1426,C1426CQS
-58.430758141648,-34.6085603807426,49829463,FARMACIA,AV DIAZ VELEZ,4509.0,AV DIAZ VELEZ,Caballito,Comuna 6,1405,C1405DCA
-58.445227030049,-34.6422972982154,46322473,FARMACIA,AV CARABOBO,1611.0,AV CARABOBO,Flores,Comuna 7,1406,C1406DHD
-58.526691158173,-34.6381681353956,46442498 fax 6742 08002221519,FARMACIA,VIEDMA FRANCISCO DE,6901.0,VIEDMA FRANCISCO DE,Liniers,Comuna 9,1408,C1408AFE
-58.3908766794501,-34.6279396246168,43040252,FARMACIA,AV ENTRE RIOS,1684.0,AV ENTRE RIOS,Constitucion,Comuna 1,1133,C1133AAR
-58.3836347327784,-34.624874567737,,FARMACIA,CONSTITUCION,1250.0,CONSTITUCION,Constitucion,Comuna 1,1151,C1151AAF
-58.3957295729638,-34.6181873781331,49417690,FARMACIA,AV INDEPENDENCIA,2083.0,AV INDEPENDENCIA,Balvanera,Comuna 3,1225,C1225AAC
