M1A, Not assigned, Not assigned
M5V, Downtown Toronto, Harbourfront West
M5V, Downtown Toronto, King and Spadina
M5V, Downtown Toronto, Railway Lands
M5V, Downtown Toronto, South Niagara
M6V, Not assigned, Not assigned
M7V, Not assigned, Not assigned
M8V, Etobicoke, Humber Bay Shores
M8V, Etobicoke, Mimico South
M8V, Etobicoke, New Toronto
M9V, Etobicoke, Albion Gardens
M9V, Etobicoke, Beaumond Heights
M9V, Etobicoke, Humbergate
M9V, Etobicoke, Jamestown
M9V, Etobicoke, Mount Olive
M9V, Etobicoke, Silverstone
M9V, Etobicoke, South Steeles
M9V, Etobicoke, Thistletown
M1W, Scarborough, L'Amoreaux West
M2W, Not assigned, Not assigned
M3W, Not assigned, Not assigned
M4W, Downtown Toronto, Rosedale
M5W, Downtown Toronto, Stn A PO Boxes 25 The Esplanade
M6W, Not assigned, Not assigned
M7W, Not assigned, Not assigned
M8W, Etobicoke, Alderwood
M8W, Etobicoke, Long Branch
M9W, Etobicoke, Northwest
M1X, Scarborough, Upper Rouge
M2X, Not assigned, Not assigned
M3X, Not assigned, Not assigned
M4X, Downtown Toronto, Cabbagetown
M4X, Downtown Toronto, St. James Town
M5X, Downtown Toronto, First Canadian Place
M5X, Downtown Toronto, Underground city
M6X, Not assigned, Not assigned
M7X, Not assigned, Not assigned
M8X, Etobicoke, The Kingsway
M8X, Etobicoke, Montgomery Road
M8X, Etobicoke, Old Mill North
M9X, Not assigned, Not assigned
M1Y, Not assigned, Not assigned
M2Y, Not assigned, Not assigned
M3Y, Not assigned, Not assigned
M4Y, Downtown Toronto, Church and Wellesley
M5Y, Not assigned, Not assigned
M6Y, Not assigned, Not assigned
M7Y, East Toronto, Business Reply Mail Processing Centre 969 Eastern
M8Y, Etobicoke, Humber Bay
M8Y, Etobicoke, King's Mill Park
M8Y, Etobicoke, Kingsway Park South East
M8Y, Etobicoke, Mimico NE
M8Y, Etobicoke, Old Mill South
M8Y, Etobicoke, The Queensway East
M8Y, Etobicoke, Royal York South East
M8Y, Etobicoke, Sunnylea
M9Y, Not assigned, Not assigned
M1Z, Not assigned, Not assigned
M2Z, Not assigned, Not assigned
M3Z, Not assigned, Not assigned
M4Z, Not assigned, Not assigned
M5Z, Not assigned, Not assigned
M6Z, Not assigned, Not assigned
M7Z, Not assigned, Not assigned
M8Z, Etobicoke, Kingsway Park South West
M8Z, Etobicoke, Mimico NW
M8Z, Etobicoke, The Queensway West
M8Z, Etobicoke, Royal York South West
M8Z, Etobicoke, South of Bloor
M9Z, Not assigned, Not assigned
